Time engk1       engi1       
  0.1688E-01  0.3082E+07  0.1431E+06
  0.1691E-01  0.3081E+07  0.1435E+06
  0.1695E-01  0.3081E+07  0.1439E+06
  0.1698E-01  0.3081E+07  0.1443E+06
  0.1702E-01  0.3080E+07  0.1447E+06
  0.1705E-01  0.3080E+07  0.1451E+06
  0.1708E-01  0.3079E+07  0.1455E+06
  0.1712E-01  0.3079E+07  0.1459E+06
  0.1715E-01  0.3078E+07  0.1463E+06
  0.1719E-01  0.3078E+07  0.1467E+06
  0.1722E-01  0.3078E+07  0.1472E+06
  0.1725E-01  0.3077E+07  0.1476E+06
  0.1729E-01  0.3077E+07  0.1480E+06
  0.1732E-01  0.3076E+07  0.1485E+06
  0.1736E-01  0.3076E+07  0.1489E+06
  0.1739E-01  0.3075E+07  0.1494E+06
  0.1742E-01  0.3075E+07  0.1499E+06
  0.1746E-01  0.3074E+07  0.1504E+06
  0.1749E-01  0.3074E+07  0.1509E+06
  0.1753E-01  0.3073E+07  0.1514E+06
  0.1756E-01  0.3073E+07  0.1519E+06
  0.1760E-01  0.3072E+07  0.1524E+06
  0.1763E-01  0.3072E+07  0.1529E+06
  0.1766E-01  0.3071E+07  0.1534E+06
  0.1770E-01  0.3071E+07  0.1539E+06
  0.1773E-01  0.3070E+07  0.1544E+06
  0.1777E-01  0.3070E+07  0.1549E+06
  0.1780E-01  0.3069E+07  0.1553E+06
  0.1783E-01  0.3069E+07  0.1558E+06
  0.1787E-01  0.3068E+07  0.1562E+06
  0.1790E-01  0.3068E+07  0.1567E+06
  0.1794E-01  0.3067E+07  0.1572E+06
  0.1797E-01  0.3067E+07  0.1577E+06
  0.1800E-01  0.3066E+07  0.1581E+06
  0.1804E-01  0.3065E+07  0.1586E+06
  0.1807E-01  0.3065E+07  0.1591E+06
  0.1811E-01  0.3064E+07  0.1596E+06
  0.1814E-01  0.3064E+07  0.1601E+06
  0.1817E-01  0.3063E+07  0.1606E+06
  0.1821E-01  0.3063E+07  0.1611E+06
  0.1824E-01  0.3062E+07  0.1616E+06
  0.1828E-01  0.3062E+07  0.1621E+06
  0.1831E-01  0.3061E+07  0.1626E+06
  0.1835E-01  0.3061E+07  0.1631E+06
  0.1838E-01  0.3060E+07  0.1636E+06
  0.1841E-01  0.3059E+07  0.1641E+06
